"Data Source","World Development Indicators",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Country Name","Country Code","Indicator Name","Indicator Code","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Aruba","ABW","Population, total","SP.POP.TOTL","89005","90853","92898","94992","97017","98737","100031","100832","101220","101353","101453","101669","102053","102577","103187","103795","104341","104822","105000"
"Afghanistan","AFG","Population, total","SP.POP.TOTL","19403676","20093756","20966463","21979923","23064851","24118979","25070798","25893450","26616792","27294031","28004331","28803167","29708599","30696958","31731688","32758020","33736494","34656032","35530000"
"Angola","AGO","Population, total","SP.POP.TOTL","15949766","16440924","16983266","17572649","18203369","18865716","19552542","20262399","20997687","21759420","22549547","23369131","24218565","25096150","25998340","26920466","27859305","28813463","29784000"
"Albania","ALB","Population, total","SP.POP.TOTL","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2879000"
"Andorra","AND","Population, total","SP.POP.TOTL","64370","65390","67341","70049","73182","76244","78867","80991","82683","83861","84462","84449","83751","82431","80788","79223","78014","77281","77000"
"Arab World","ARB","Population, total","SP.POP.TOTL","277962869","283832016","289850357","296026575","302434519","309162029","316264728","323773264","331653797","339825483","348145094","356508908","364895878","373306993","381702086","390043028","398304960","406452690","414481000"
"United Arab Emirates","ARE","Population, total","SP.POP.TOTL","2988162","3154925","3326032","3507232","3741932","4087931","4579562","5242032","6044067","6894278","7666393","8270684","8672475","8900453","9006263","9070867","9154302","9269612","9400000"
"Argentina","ARG","Population, total","SP.POP.TOTL","36648068","37057452","37471509","37889370","38309379","38728696","39145488","39558890","39970224","40382389","40799407","41223889","41656879","42096739","42539925","42981515","43417765","43847430","44271000"
"Armenia","ARM","Population, total","SP.POP.TOTL","3089017","3069588","3050655","3033897","3017806","3000612","2981259","2958500","2933056","2908220","2888584","2877311","2875581","2881922","2893509","2906220","2916950","2924816","2930000"
"American Samoa","ASM","Population, total","SP.POP.TOTL","56770","57521","58175","58731","59117","59264","59118","58650","57903","57030","56227","55637","55320","55230","55307","55437","55537","55599","56000"
"Antigua and Barbuda","ATG","Population, total","SP.POP.TOTL","81831","83584","85057","86266","87293","88257","89253","90301","91381","92478","93581","94661","95719","96777","97824","98875","99923","100963","102000"
"Australia","AUS","Population, total","SP.POP.TOTL","18926000","19153000","19413000","19651400","19895400","20127400","20394800","20697900","20827600","21249200","21691700","22031750","22340024","22728254","23117353","23460694","23789338","24127159","24446000"
"Austria","AUT","Population, total","SP.POP.TOTL","7992324","8011566","8042293","8081957","8121423","8171966","8227829","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479375","8541575","8633169","8747358","8770000"
"Azerbaijan","AZE","Population, total","SP.POP.TOTL","7982750","8048600","8111200","8171950","8234100","8306500","8391850","8484550","8581300","8763400","8947243","9054332","9173082","9295784","9416801","9535079","9649341","9762274","9868000"
"Burundi","BDI","Population, total","SP.POP.TOTL","6278940","6400706","6555829","6741569","6953113","7182451","7423289","7675338","7939573","8212264","8489031","8766930","9043508","9319710","9600186","9891790","10199270","10524117","10864000"
"Belgium","BEL","Population, total","SP.POP.TOTL","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11047744","11128246","11182817","11209057","11274196","11348159","11416000"
"Benin","BEN","Population, total","SP.POP.TOTL","6664098","6865951","7076733","7295394","7520555","7750004","7982225","8216896","8454791","8696916","8944706","9199259","9460802","9729160","10004451","10286712","10575952","10872298","11176000"
"Burkina Faso","BFA","Population, total","SP.POP.TOTL","11282701","11607942","11944587","12293100","12654621","13030569","13421930","13829177","14252021","14689726","15141099","15605217","16081904","16571216","17072723","17585977","18110624","18646433","19193000"
"Bangladesh","BGD","Population, total","SP.POP.TOTL","129029691","131581243","134107160","136600667","139019001","141307489","143431101","145368004","147139191","148805814","150454708","152149102","153911916","155727053","157571292","159405279","161200886","162951560","164670000"
